employee_id,name,phone,email,role,reports_to,language
EMP-0001,Ramesh Kumar,6000000000,emp-0001@demo-contractor.example,SUPER_ADMIN,,hi
EMP-0002,Anil Sharma,6000015838,emp-0002@demo-contractor.example,ADMIN,EMP-0001,hi
EMP-0003,Mohan Mishra,6000023757,emp-0003@demo-contractor.example,ADMIN,EMP-0001,hi
EMP-0004,Vikas Verma,6000031676,emp-0004@demo-contractor.example,ADMIN,EMP-0001,hi
EMP-0005,Rakesh Tiwari,6000039595,emp-0005@demo-contractor.example,ADMIN,EMP-0001,hi
EMP-0006,Dinesh Lal,6000047514,emp-0006@demo-contractor.example,SENIOR,EMP-0004,hi
EMP-0007,Manoj Yadav,6000055433,emp-0007@demo-contractor.example,SENIOR,EMP-0005,hi
EMP-0008,Sunita Devi,6000063352,emp-0008@demo-contractor.example,SENIOR,EMP-0002,hi
EMP-0009,Kavita Singh,6000071271,emp-0009@demo-contractor.example,SENIOR,EMP-0003,hi
EMP-0010,Rekha Pandey,6000079190,emp-0010@demo-contractor.example,SENIOR,EMP-0004,hi
EMP-0011,Pooja Gupta,6000087109,emp-0011@demo-contractor.example,SENIOR,EMP-0005,hi
EMP-0012,Amit Kumar,6000095028,emp-0012@demo-contractor.example,SENIOR,EMP-0002,hi
EMP-0013,Sanjay Prasad,6000102947,emp-0013@demo-contractor.example,SENIOR,EMP-0003,hi
EMP-0014,Deepak Sharma,6000110866,emp-0014@demo-contractor.example,SENIOR,EMP-0004,hi
EMP-0015,Rajesh Mishra,6000118785,emp-0015@demo-contractor.example,SENIOR,EMP-0005,hi
EMP-0016,Ramesh Verma,6000126704,emp-0016@demo-contractor.example,SENIOR,EMP-0002,hi
EMP-0017,Suresh Tiwari,6000134623,emp-0017@demo-contractor.example,SENIOR,EMP-0003,hi
EMP-0018,Anil Lal,6000142542,emp-0018@demo-contractor.example,SENIOR,EMP-0004,hi
EMP-0019,Mohan Yadav,6000150461,emp-0019@demo-contractor.example,SENIOR,EMP-0005,hi
EMP-0020,Vikas Devi,6000158380,emp-0020@demo-contractor.example,SENIOR,EMP-0002,hi
EMP-0021,Rakesh Singh,6000166299,emp-0021@demo-contractor.example,SENIOR,EMP-0003,hi
EMP-0022,Dinesh Pandey,6000174218,emp-0022@demo-contractor.example,SENIOR,EMP-0004,hi
EMP-0023,Manoj Gupta,6000182137,emp-0023@demo-contractor.example,SENIOR,EMP-0005,hi
EMP-0024,Sunita Kumar,6000190056,emp-0024@demo-contractor.example,SENIOR,EMP-0002,hi
EMP-0025,Kavita Prasad,6000197975,emp-0025@demo-contractor.example,SENIOR,EMP-0003,hi
EMP-0026,Rekha Sharma,6000205894,emp-0026@demo-contractor.example,SENIOR,EMP-0004,hi
EMP-0027,Pooja Mishra,6000213813,emp-0027@demo-contractor.example,SENIOR,EMP-0005,hi
EMP-0028,Amit Verma,6000221732,emp-0028@demo-contractor.example,SENIOR,EMP-0002,hi
EMP-0029,Sanjay Tiwari,6000229651,emp-0029@demo-contractor.example,SENIOR,EMP-0003,hi
EMP-0030,Deepak Lal,6000237570,emp-0030@demo-contractor.example,SENIOR,EMP-0004,hi
EMP-0031,Rajesh Yadav,6000245489,emp-0031@demo-contractor.example,SENIOR,EMP-0005,hi
EMP-0032,Ramesh Devi,6000253408,emp-0032@demo-contractor.example,SENIOR,EMP-0002,hi
EMP-0033,Suresh Singh,6000261327,emp-0033@demo-contractor.example,SENIOR,EMP-0003,hi
EMP-0034,Anil Pandey,6000269246,emp-0034@demo-contractor.example,SENIOR,EMP-0004,hi
EMP-0035,Mohan Gupta,6000277165,emp-0035@demo-contractor.example,SENIOR,EMP-0005,hi
EMP-0036,Vikas Kumar,6000285084,emp-0036@demo-contractor.example,SENIOR,EMP-0002,hi
